Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.69     0.00      600     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.69     0.00      600     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.69     0.00      600     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      0.69     0.00      600     0.00     0.07  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&)
  0.00      0.69     0.00      600     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.69     0.00      600     0.00     0.00  double* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.00      0.69     0.00      108     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.69     0.00      108     0.00     0.00  decltype (({parm#1}.begin)()) std::begin<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.69     0.00      108     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.69     0.00      104     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++(int)
  0.00      0.69     0.00       54     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.69     0.00       54     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator=(double&&)
  0.00      0.69     0.00       54     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00      0.69     0.00       54     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00      0.69     0.00       54     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
